Timestamp,avg-block-size
01/05/2019,1.12691123391813
02/05/2019,1.10086151086957
03/05/2019,1.22819998684211
04/05/2019,1.18777127272727
05/05/2019,1.19630818604651
06/05/2019,1.22218744370861
07/05/2019,1.26797719685039
08/05/2019,1.24307344736842
09/05/2019,1.25869975333333
10/05/2019,1.259484184
11/05/2019,1.24059478461538
12/05/2019,1.23478948734177
13/05/2019,1.20340963473054
14/05/2019,1.23068711842105
15/05/2019,1.23772602684564
16/05/2019,1.2452671369863
17/05/2019,1.26140470860927
18/05/2019,1.2423340130719
19/05/2019,1.12402164417178
20/05/2019,1.17731763354037
21/05/2019,1.25864305882353
22/05/2019,1.20124329341317
23/05/2019,1.22699516455696
24/05/2019,1.25413184313726
25/05/2019,1.17771341428571
26/05/2019,1.00135643030303
27/05/2019,1.19071721556886
28/05/2019,1.26284601219512
29/05/2019,1.22425102298851
30/05/2019,1.2136461125
31/05/2019,1.2917668034188
01/06/2019,1.24408625165563
02/06/2019,1.20057963358779
03/06/2019,1.25674850420168
04/06/2019,1.25325847402597
05/06/2019,1.23972551875
06/06/2019,1.15870975796178
07/06/2019,1.18778080379747
08/06/2019,1.14384396774194
09/06/2019,0.92742606122449
10/06/2019,1.15081056687898
11/06/2019,1.25805607692308
12/06/2019,1.26008806870229
13/06/2019,1.2641888410596
14/06/2019,1.29037044378698
15/06/2019,1.23372896575343
16/06/2019,1.17512171538462
17/06/2019,1.23375669172932
18/06/2019,1.23601235582822
19/06/2019,1.15955762711864
20/06/2019,1.24513202083333
21/06/2019,1.26574888721804
22/06/2019,1.20928870921986
23/06/2019,1.17940340883978
24/06/2019,1.2158101920904
25/06/2019,1.24576424657534
26/06/2019,1.24084879393939
27/06/2019,1.23331770422535
28/06/2019,1.25548820858896
29/06/2019,1.14865132183908
30/06/2019,1.00349886842105
01/07/2019,1.26303334965035
02/07/2019,1.23998631012658
03/07/2019,1.18693356395349
04/07/2019,1.13968804191617
05/07/2019,1.02781906349206
06/07/2019,0.897182387640449
07/07/2019,0.956807588235294
08/07/2019,1.06479558426966
09/07/2019,1.15526251298701
10/07/2019,1.27023689147287
11/07/2019,1.25302506976744
12/07/2019,1.23242254268293
13/07/2019,1.04858258865248
14/07/2019,0.952888731034483
15/07/2019,1.13610393835616
16/07/2019,1.09887527777778
17/07/2019,1.15372490977444
18/07/2019,1.26103424793388
19/07/2019,1.26290437288136
20/07/2019,1.04757059322034
21/07/2019,0.887190201342282
22/07/2019,1.00448546835443
23/07/2019,1.1037651048951
24/07/2019,1.10729387769784
25/07/2019,1.13333078666667
26/07/2019,0.957042542168674
27/07/2019,0.85809665131579
28/07/2019,0.70364656
29/07/2019,0.960283160714286
30/07/2019,1.168352
31/07/2019,1.00736548538012
01/08/2019,1.15085085915493
02/08/2019,1.0332159408284
03/08/2019,0.847532514450867
04/08/2019,0.825016580838323
05/08/2019,1.17950344055944
06/08/2019,1.14529517391304
07/08/2019,1.13438988235294
08/08/2019,1.23935686619718
09/08/2019,1.15657972789116
10/08/2019,0.910549139072848
11/08/2019,0.791410215686274
12/08/2019,1.03599922556391
13/08/2019,1.18956887261147
14/08/2019,1.13971276973684
15/08/2019,1.06614657961783
16/08/2019,1.0359847414966
17/08/2019,0.9967702890625
18/08/2019,0.949509166666667
19/08/2019,0.938905619631902
20/08/2019,1.0772132745098
21/08/2019,1.18841401470588
22/08/2019,1.24188624113475
23/08/2019,1.09552086928105
24/08/2019,0.97712728125
25/08/2019,0.804201896774194
26/08/2019,1.17041413868613
27/08/2019,1.15973937777778
28/08/2019,1.03846713907285
29/08/2019,0.995517387878788
30/08/2019,1.0054113
31/08/2019,0.874326186746988
01/09/2019,0.885620447552447
02/09/2019,1.0557643557047
03/09/2019,1.08815423170732
04/09/2019,1.17799423529412
05/09/2019,1.02078255757576
06/09/2019,1.09143871518987
07/09/2019,0.92503502
08/09/2019,0.707172129943503
09/09/2019,1.08986510273973
10/09/2019,0.957443978021978
11/09/2019,0.953451777173913
12/09/2019,0.97985764556962
13/09/2019,1.06961826666667
14/09/2019,0.903661329032258
15/09/2019,0.86785037414966
16/09/2019,1.05493929447853
17/09/2019,1.15771241216216
18/09/2019,1.06990544827586
19/09/2019,1.10439114189189
20/09/2019,1.04026201324503
21/09/2019,0.884734271084337
22/09/2019,0.850795608433735
23/09/2019,1.24371952631579
24/09/2019,1.16361812101911
25/09/2019,1.10453433974359
26/09/2019,0.970737502923977
27/09/2019,1.0954235
28/09/2019,0.887235503144653
29/09/2019,0.899054970588235
30/09/2019,1.15052539230769
01/10/2019,1.12006802797203
02/10/2019,1.00596792567568
03/10/2019,1.03809310204082
04/10/2019,1.08692838095238
05/10/2019,0.885488658227848
06/10/2019,0.813034281879195
07/10/2019,1.00581012258065
08/10/2019,0.966500944444444
09/10/2019,1.03239113768116
10/10/2019,0.968209895061729
11/10/2019,1.01707467307692
12/10/2019,0.971500255639098
13/10/2019,0.817165204225352
14/10/2019,1.05937131851852
15/10/2019,0.995947320261438
16/10/2019,1.11676388111888
17/10/2019,1.09859798
18/10/2019,0.9423605
19/10/2019,0.968948147887323
20/10/2019,0.845296609589041
21/10/2019,1.00909333962264
22/10/2019,0.95907425443787
23/10/2019,0.978411523809523
24/10/2019,1.09147323308271
25/10/2019,1.19020037681159
26/10/2019,1.22502357857143
27/10/2019,1.10233194782609
28/10/2019,1.15925070676692
29/10/2019,1.09922310447761
30/10/2019,1.08091862121212
31/10/2019,1.24109290769231
01/11/2019,0.989604156716418
02/11/2019,0.969651876811594
03/11/2019,1.16507156060606
