Timestamp,transaction-fees-usd
01/05/2019,355112.39319592
02/05/2019,352449.34535022
03/05/2019,457428.841073132
04/05/2019,355778.377034773
05/05/2019,359875.131106285
06/05/2019,431472.576428765
07/05/2019,550568.76084536
08/05/2019,654864.405159654
09/05/2019,653469.00891496
10/05/2019,786365.15324744
11/05/2019,848925.356296582
12/05/2019,771725.965372654
13/05/2019,840292.0937122
14/05/2019,1057863.89911657
15/05/2019,1585533.64083739
16/05/2019,1853649.07416285
17/05/2019,1650951.41169966
18/05/2019,987228.6029589
19/05/2019,996544.122010446
20/05/2019,1468601.70168584
21/05/2019,1610675.95334609
22/05/2019,1416401.39704072
23/05/2019,1262208.55123279
24/05/2019,1535781.22957152
25/05/2019,1031523.88459694
26/05/2019,778839.007618941
27/05/2019,1727257.42473471
28/05/2019,1735508.55352325
29/05/2019,1633565.78418822
30/05/2019,1629865.55599071
31/05/2019,1713611.62299618
01/06/2019,1362765.48977121
02/06/2019,1028715.30662847
03/06/2019,1693015.42862659
04/06/2019,1728231.03240991
05/06/2019,1238191.52050696
06/06/2019,959903.722605092
07/06/2019,861779.733886153
08/06/2019,582893.90929086
09/06/2019,498962.708959555
10/06/2019,804692.654421822
11/06/2019,872726.85625637
12/06/2019,874622.13832975
13/06/2019,893272.238838839
14/06/2019,987978.100464444
15/06/2019,686185.09923132
16/06/2019,677589.485449899
17/06/2019,1094333.82436547
18/06/2019,1069445.10156704
19/06/2019,967567.140086065
20/06/2019,1047359.4189632
21/06/2019,1237370.87558488
22/06/2019,1317249.19958094
23/06/2019,873606.602986917
24/06/2019,1120601.172317
25/06/2019,1371038.30731988
26/06/2019,2360622.22856474
27/06/2019,2392393.92450737
28/06/2019,2133609.78713692
29/06/2019,1292722.06773499
30/06/2019,1211030.04519003
01/07/2019,1357397.50451113
02/07/2019,1212199.91511567
03/07/2019,1072672.23297331
04/07/2019,989158.539741836
05/07/2019,845910.767197594
06/07/2019,591338.791661809
07/07/2019,515817.543758811
08/07/2019,824039.422571149
09/07/2019,892835.558041145
10/07/2019,1086524.89866567
11/07/2019,938029.070508979
12/07/2019,785807.997424085
13/07/2019,507503.780193075
14/07/2019,441247.688127061
15/07/2019,664514.691084682
16/07/2019,659843.584877347
17/07/2019,617041.070608925
18/07/2019,724678.519566523
19/07/2019,744624.801853779
20/07/2019,540233.807603992
21/07/2019,396537.032389333
22/07/2019,573311.407711612
23/07/2019,521481.250824026
24/07/2019,484498.810267531
25/07/2019,566785.45982141
26/07/2019,454566.318251447
27/07/2019,321163.797224231
28/07/2019,251048.80705653
29/07/2019,380851.48467158
30/07/2019,575915.399547729
31/07/2019,528796.6554116
01/08/2019,478453.132948785
02/08/2019,468543.095737674
03/08/2019,296718.327918495
04/08/2019,214910.612571403
05/08/2019,505603.57497006
06/08/2019,539637.9061049
07/08/2019,836116.026928645
08/08/2019,832669.063714055
09/08/2019,776052.01079988
10/08/2019,461029.366037485
11/08/2019,348662.346249778
12/08/2019,584463.94338514
13/08/2019,847429.841589095
14/08/2019,615428.02705366
15/08/2019,548478.120394696
16/08/2019,545927.99114816
17/08/2019,364588.770434759
18/08/2019,300219.230049329
19/08/2019,452847.464343655
20/08/2019,511446.420869311
21/08/2019,536157.939917247
22/08/2019,542320.457839831
23/08/2019,429816.506458361
24/08/2019,306393.990716953
25/08/2019,218966.721000945
26/08/2019,343236.6536065
27/08/2019,349517.819342665
28/08/2019,340900.619152829
29/08/2019,327068.752371414
30/08/2019,330918.614585244
31/08/2019,231118.102452182
01/09/2019,192857.491518899
02/09/2019,296605.726100961
03/09/2019,411641.215443005
