Timestamp,estimated-transaction-volume-usd
01/05/2019,878862399.05446
02/05/2019,760391105.92548
03/05/2019,858064130.790705
04/05/2019,489890940.823787
05/05/2019,446363838.194411
06/05/2019,769428196.684081
07/05/2019,1041193668.85865
08/05/2019,1026598912.92612
09/05/2019,1251747786.99949
10/05/2019,1285152265.18143
11/05/2019,890773875.557915
12/05/2019,1047479224.06264
13/05/2019,1691655708.37404
14/05/2019,1659251075.53614
15/05/2019,1595050697.09695
16/05/2019,1694528053.99168
17/05/2019,1298197113.841
18/05/2019,688963903.658277
19/05/2019,776463133.467301
20/05/2019,1127760758.33771
21/05/2019,1011724990.89294
22/05/2019,1126821699.73429
23/05/2019,1180520164.76067
24/05/2019,1291010564.0933
25/05/2019,551935634.865766
26/05/2019,848987065.906149
27/05/2019,1318870008.46283
28/05/2019,1475454597.97029
29/05/2019,2715969883.44545
30/05/2019,1307364485.98112
31/05/2019,2139391264.47921
01/06/2019,950272921.697104
02/06/2019,661260854.072411
03/06/2019,1387869417.39436
04/06/2019,2210912218.37581
05/06/2019,2554143447.31926
06/06/2019,2028322128.99115
07/06/2019,1100908051.78238
08/06/2019,537539563.516134
09/06/2019,429940401.765129
10/06/2019,1024400574.27776
11/06/2019,1596486462.48794
12/06/2019,1164520570.45808
13/06/2019,1133834031.3768
14/06/2019,1268348918.472
15/06/2019,856304521.345165
16/06/2019,1037160332.21346
17/06/2019,2950935222.42847
18/06/2019,2182288636.43523
19/06/2019,1908684407.20105
20/06/2019,1190905553.64237
21/06/2019,1529747837.77371
22/06/2019,2222444544.5401
23/06/2019,1181274913.1325
24/06/2019,1758426569.15256
25/06/2019,1831245148.07661
26/06/2019,2930019255.94771
27/06/2019,2491886549.14668
28/06/2019,2653064698.96847
29/06/2019,1357452935.74732
30/06/2019,1651368348.22081
01/07/2019,1639029426.22024
02/07/2019,1813299811.70937
03/07/2019,1618383338.89788
04/07/2019,1933335669.36912
05/07/2019,1176057042.74459
06/07/2019,639979717.955877
07/07/2019,561967420.058377
08/07/2019,2099126797.96369
09/07/2019,1779344024.06482
10/07/2019,3158872124.78143
11/07/2019,1909308953.10433
12/07/2019,1573448471.11562
13/07/2019,703409877.232993
14/07/2019,880311916.429513
15/07/2019,1237233738.065
16/07/2019,1554876517.05214
17/07/2019,1898295641.75235
18/07/2019,1363791605.47841
19/07/2019,2126938200.64637
20/07/2019,835319633.831489
21/07/2019,682036367.270114
22/07/2019,1027285548.46237
23/07/2019,946331234.643111
24/07/2019,1334346530.10196
25/07/2019,1029705254.80043
26/07/2019,993970297.737923
27/07/2019,586372755.465987
28/07/2019,379230727.584726
29/07/2019,4112257571.27222
30/07/2019,1280347893.44335
31/07/2019,1033351135.20618
01/08/2019,1063515472.58285
02/08/2019,1276543413.55019
03/08/2019,533502020.952203
04/08/2019,584301307.017416
05/08/2019,1783008179.42602
06/08/2019,1820577410.091
07/08/2019,1528500615.47788
08/08/2019,1409255302.77697
09/08/2019,1423908954.56227
10/08/2019,796863848.442387
11/08/2019,577446710.735718
12/08/2019,1291059873.47708
13/08/2019,1666494659.99051
14/08/2019,1317218977.94195
15/08/2019,1574111185.79898
16/08/2019,1077642458.52809
17/08/2019,1526187033.46721
18/08/2019,923238653.158426
19/08/2019,1023246904.67013
20/08/2019,1220470929.96864
21/08/2019,1083045372.40215
22/08/2019,951158027.834026
23/08/2019,2130991479.93793
24/08/2019,592417288.471263
25/08/2019,576624098.058777
26/08/2019,1311051900.84533
27/08/2019,1295831266.79679
28/08/2019,1050824062.27406
29/08/2019,1674298204.5402
30/08/2019,1323718819.7742
31/08/2019,536730722.744341
01/09/2019,527581681.518463
02/09/2019,1189099299.73989
03/09/2019,1484070470.30013
04/09/2019,1356552610.12157
05/09/2019,1706403125.81051
06/09/2019,2785938242.47131
07/09/2019,920958388.084715
08/09/2019,734442315.886497
09/09/2019,1233969516.75112
10/09/2019,1964047352.89751
11/09/2019,1425043055.21506
12/09/2019,1811962087.02676
13/09/2019,926451075.370118
14/09/2019,550438176.483592
15/09/2019,465077107.456492
16/09/2019,1523428331.69289
17/09/2019,1412330120.98926
18/09/2019,1899700648.3467
19/09/2019,1263814528.24699
20/09/2019,1752366741.2845
21/09/2019,1297619718.14635
22/09/2019,552377407.450051
23/09/2019,855073770.204309
24/09/2019,3139283339.2161
25/09/2019,2087385264.72149
26/09/2019,1313285336.69414
27/09/2019,1158429641.01496
28/09/2019,580178846.7763
29/09/2019,461412848.670824
30/09/2019,1032865548.01648
01/10/2019,1076885942.12558
02/10/2019,753518693.099858
03/10/2019,941153423.813483
04/10/2019,734036334.988344
05/10/2019,375403716.022211
06/10/2019,437929223.289477
07/10/2019,858436648.340689
08/10/2019,951086445.4266
09/10/2019,1063632108.53833
10/10/2019,1061857762.2837
11/10/2019,940680504.466421
12/10/2019,434035291.224281
13/10/2019,358793113.390658
14/10/2019,1712938625.03762
15/10/2019,933447813.563032
16/10/2019,944835135.107188
17/10/2019,1260759811.25633
18/10/2019,1046146449.48076
19/10/2019,393045996.900051
20/10/2019,335445114.082607
21/10/2019,949795298.925235
22/10/2019,996706690.858345
23/10/2019,1296382266.37079
24/10/2019,984320293.086673
25/10/2019,1334170237.65914
26/10/2019,1256366630.61245
27/10/2019,721778043.423887
28/10/2019,1157811408.23295
29/10/2019,933497841.255334
30/10/2019,1573437647.47653
31/10/2019,2074156433.79762
01/11/2019,736867493.36135
02/11/2019,791930340.104973
03/11/2019,1333487928.85567
04/11/2019,2769186824.13713
05/11/2019,1446365892.00296
06/11/2019,1410260957.176
07/11/2019,1458241138.12778
08/11/2019,1046596790.16888
09/11/2019,364320564.190368
10/11/2019,718863061.19166
11/11/2019,865205529.779822
12/11/2019,1486062566.37464
13/11/2019,946450282.515701
14/11/2019,1199132985.11859
15/11/2019,461834641.876112
16/11/2019,342818350.321039
17/11/2019,1043917564.33598
18/11/2019,923399726.065324
19/11/2019,870969121.524629
20/11/2019,1165992114.19976
21/11/2019,1691710108.35354
22/11/2019,1151153475.67428
23/11/2019,544401075.374676
24/11/2019,1313006695.02549
25/11/2019,1179814702.24228
26/11/2019,1513433741.15035
27/11/2019,769525352.625047
28/11/2019,1078007992.31578
29/11/2019,696535295.153311
30/11/2019,410180206.361161
01/12/2019,904057314.823355
02/12/2019,1101171350.2715
03/12/2019,1466498115.73916
04/12/2019,829793365.229581
05/12/2019,1235038809.93875
06/12/2019,842686832.919384
07/12/2019,307899861.771098
08/12/2019,984541456.77168
09/12/2019,1203358979.51588
10/12/2019,960237277.26307
11/12/2019,1259580435.1801
12/12/2019,910737705.988904
13/12/2019,455496983.970829
14/12/2019,331461605.786852
15/12/2019,880428472.303217
16/12/2019,1699726138.74945
17/12/2019,1653840922.56698
18/12/2019,1185600661.7481
19/12/2019,1192218774.49197
20/12/2019,484021776.662792
21/12/2019,409093776.778714
22/12/2019,1144871677.88131
23/12/2019,770512475.798006
24/12/2019,863528900.789981
25/12/2019,783721256.337016
26/12/2019,847107991.825459
27/12/2019,480834303.778861
28/12/2019,381265550.855148
29/12/2019,956242180.526399
