Timestamp,fees-usd-per-transaction
02-05-2019,0.761744646705483
03-05-2019,1.19423139861195
04-05-2019,0.967777884563502
05-05-2019,1.08811705884609
06-05-2019,1.14002625378826
07-05-2019,1.64540438374633
08-05-2019,1.66597827206009
09-05-2019,1.78026390269507
10-05-2019,2.40328710299214
11-05-2019,2.46095993499648
12-05-2019,2.18479377331412
13-05-2019,2.13841444279872
14-05-2019,2.87955984189393
15-05-2019,4.19507724767865
16-05-2019,4.86289770808393
17-05-2019,4.56500249326611
18-05-2019,2.74455831171992
19-05-2019,2.8730525141641
20-05-2019,3.84871849742871
21-05-2019,4.22872793214319
22-05-2019,3.54711339542543
23-05-2019,3.24189352635798
24-05-2019,4.10766292458989
25-05-2019,3.04825644536002
26-05-2019,2.08205641592779
27-05-2019,4.13854121927336
28-05-2019,4.33670060926721
29-05-2019,3.99058466169516
30-05-2019,4.32469620082763
31-05-2019,5.73120005550618
01-06-2019,4.10357819450997
02-06-2019,3.40408771220541
03-06-2019,5.75837960275568
04-06-2019,4.54942503378683
05-06-2019,3.32001115572938
06-06-2019,2.59633426451481
07-06-2019,2.40042041459938
08-06-2019,1.98014705791323
09-06-2019,1.62776180365427
10-06-2019,2.24652118098193
11-06-2019,2.56345842183813
12-06-2019,2.66276407256122
13-06-2019,2.451532464916
14-06-2019,2.69191372733264
15-06-2019,2.07335490500589
16-06-2019,2.29493752988918
17-06-2019,3.36868394934808
18-06-2019,2.70853250929368
19-06-2019,2.41269310201197
20-06-2019,3.17282611476783
21-06-2019,3.66366794551113
22-06-2019,3.72025474710426
23-06-2019,2.28347915056817
24-06-2019,2.85716041569014
25-06-2019,3.79384398168125
26-06-2019,5.90710825316984
27-06-2019,6.5252386543294
28-06-2019,5.2410740200959
29-06-2019,3.60323571492081
30-06-2019,3.66167684671237
01-07-2019,4.02953584705645
02-07-2019,3.24630610166245
03-07-2019,2.68939241518382
04-07-2019,2.66832443065582
05-07-2019,2.23518050378143
06-07-2019,1.67506208246387
07-07-2019,1.6465432506434
08-07-2019,2.1068118419945
09-07-2019,2.43745016514144
10-07-2019,3.44202981228669
11-07-2019,2.84168566268291
12-07-2019,2.14695186052901
13-07-2019,1.66643281023519
14-07-2019,1.4548849377885
15-07-2019,1.90344816142912
16-07-2019,1.79393068587175
17-07-2019,1.89921903466052
18-07-2019,2.29513854397227
19-07-2019,2.48298482399865
20-07-2019,1.64964443441377
21-07-2019,1.39658171402274
22-07-2019,1.76674229345771
23-07-2019,1.6078872583042
24-07-2019,1.63909621219846
25-07-2019,1.66027728578537
26-07-2019,1.42224421564724
27-07-2019,1.13128864928998
28-07-2019,0.919680288439669
29-07-2019,1.13128459686081
30-07-2019,1.73510303551377
31-07-2019,1.46344452799354
01-08-2019,1.39939085568274
02-08-2019,1.34039494598197
03-08-2019,0.901117985162978
04-08-2019,0.712818870595777
05-08-2019,1.43361245943909
06-08-2019,1.46502195235185
07-08-2019,2.23702791329414
08-08-2019,2.46761359449872
09-08-2019,2.2461122888257
10-08-2019,1.51585584845526
11-08-2019,1.26047896233258
12-08-2019,1.94676604852107
13-08-2019,2.23010787402228
14-08-2019,1.6887089594461
15-08-2019,1.51786676664793
16-08-2019,1.61581694211641
17-08-2019,1.26480895604865
18-08-2019,1.08631422231227
19-08-2019,1.33296283620421
20-08-2019,1.51672253041714
21-08-2019,1.71071832168382
22-08-2019,1.68185893088243
23-08-2019,1.24381878348418
24-08-2019,0.996801942620797
25-08-2019,0.756380019554686
26-08-2019,1.07861772429208
27-08-2019,1.05725466391199
28-08-2019,0.999122564926229
29-08-2019,0.928415616731284
30-08-2019,0.934518518706952
31-08-2019,0.668406051484873
01-09-2019,0.67558357335638
02-09-2019,0.875537167107363
03-09-2019,1.10039781290567
04-09-2019,1.21433338508536
05-09-2019,1.1002389011777
06-09-2019,1.09443777488288
07-09-2019,0.875890273845593
08-09-2019,0.789162481466168
09-09-2019,1.06361486052221
10-09-2019,1.12429108787714
11-09-2019,1.03318009365219
12-09-2019,0.896954419611611
13-09-2019,0.920042364452236
14-09-2019,0.718465785558893
15-09-2019,0.685493486375277
16-09-2019,0.857924467387701
17-09-2019,1.02992953321898
18-09-2019,0.958491614545631
19-09-2019,1.04166248113649
20-09-2019,0.956518324632447
21-09-2019,0.699688306233792
22-09-2019,0.643133304464001
23-09-2019,1.11105521306143
24-09-2019,1.01838224842524
25-09-2019,1.03484738301762
26-09-2019,0.757686622358845
27-09-2019,0.907828357080448
28-09-2019,0.600878631776372
29-09-2019,0.588071108629497
30-09-2019,1.06976201979276
01-10-2019,1.19598047412488
02-10-2019,0.943771276474183
03-10-2019,0.953560206270099
04-10-2019,0.671349035510914
05-10-2019,0.472704648745574
06-10-2019,0.468264949729334
07-10-2019,0.604798171555667
08-10-2019,0.674920399304331
09-10-2019,0.817047061855268
10-10-2019,0.828309015364385
11-10-2019,0.670074389432194
12-10-2019,0.573480068078046
13-10-2019,0.483873582615344
14-10-2019,0.647586228740898
15-10-2019,0.626004661241478
16-10-2019,0.693174097245866
17-10-2019,0.604208556922961
18-10-2019,0.584087304776351
19-10-2019,0.474426402377773
20-10-2019,0.4365767164328
21-10-2019,0.481533672183832
22-10-2019,0.534403639518881
23-10-2019,0.681601011903147
24-10-2019,0.709897658487492
25-10-2019,0.872678831508667
26-10-2019,1.45585824561326
27-10-2019,1.24892156201113
28-10-2019,1.0796546669691
29-10-2019,0.98034236037582
30-10-2019,1.10851202067185
31-10-2019,1.16052627514748
01-11-2019,0.903170130773998
02-11-2019,0.817713946079965
