Timestamp,transaction-fees
01/12/2019,26.09108998
02/12/2019,25.47734062
03/12/2019,29.54553925
04/12/2019,23.24165709
05/12/2019,25.03292648
06/12/2019,18.05659965
07/12/2019,14.5034802
08/12/2019,21.82070486
09/12/2019,23.22218997
10/12/2019,24.60426083
11/12/2019,22.56385567
12/12/2019,22.4711631
13/12/2019,15.36404462
14/12/2019,20.4478166
15/12/2019,22.16325645
16/12/2019,22.92717755
17/12/2019,27.48314294
18/12/2019,28.71547007
19/12/2019,25.47719556
20/12/2019,16.60936724
21/12/2019,12.80407837
22/12/2019,18.87107421
23/12/2019,17.60848203
24/12/2019,13.13196764
25/12/2019,18.91209694
26/12/2019,17.11633792
27/12/2019,13.80390964
28/12/2019,12.6092473
29/12/2019,15.90283263
30/12/2019,14.84211896
31/12/2019,9.97099973
01/01/2020,13.78084459
02/01/2020,16.38979535
03/01/2020,12.31216518
04/01/2020,11.88711242
05/01/2020,20.49312376
06/01/2020,25.56190656
07/01/2020,30.83081053
08/01/2020,29.78119837
09/01/2020,32.5651343
10/01/2020,18.38352814
11/01/2020,14.53164303
12/01/2020,17.63102526
13/01/2020,26.221577
14/01/2020,31.35812937
15/01/2020,23.85247351
16/01/2020,24.29323765
17/01/2020,17.76555017
18/01/2020,16.5175935
19/01/2020,17.74334005
20/01/2020,20.51905021
21/01/2020,21.67952284
22/01/2020,21.03754657
23/01/2020,16.10082373
24/01/2020,11.39326294
25/01/2020,10.57299079
26/01/2020,19.78717492
27/01/2020,22.98737848
28/01/2020,20.42515898
29/01/2020,19.64580869
30/01/2020,22.53135857
31/01/2020,17.4815999
01/02/2020,16.94878932
02/02/2020,21.53312454
03/02/2020,23.74587464
04/02/2020,25.44140813
05/02/2020,27.10635364
06/02/2020,31.51759356
07/02/2020,21.33690612
08/02/2020,19.8217869
09/02/2020,27.58066679
10/02/2020,34.77248558
11/02/2020,37.39850183
12/02/2020,35.47858608
13/02/2020,32.17258486
14/02/2020,28.54821404
15/02/2020,21.59936997
16/02/2020,25.29770103
17/02/2020,30.12812537
18/02/2020,31.4285617
19/02/2020,27.79666259
20/02/2020,23.54449483
21/02/2020,18.32436669
22/02/2020,16.62073804
23/02/2020,22.9242627
24/02/2020,24.54482939
25/02/2020,29.29911468
26/02/2020,26.95964399
27/02/2020,26.28258744
28/02/2020,18.50395585
29/02/2020,14.44661165
01/03/2020,22.93901727
02/03/2020,24.71643759
03/03/2020,24.25737051
04/03/2020,24.37165686
05/03/2020,26.63263902
06/03/2020,18.53853474
07/03/2020,16.14238732
08/03/2020,25.61204951
09/03/2020,27.9412801
10/03/2020,29.56150425
11/03/2020,59.16829292
12/03/2020,84.31311198
13/03/2020,52.86649863
14/03/2020,44.30830399
15/03/2020,61.56626918
16/03/2020,62.25196409
17/03/2020,58.77164193
18/03/2020,68.45700527
19/03/2020,79.98994299
20/03/2020,47.08077798
21/03/2020,33.34176341
22/03/2020,51.42451024
23/03/2020,44.74357832
24/03/2020,45.40177404
25/03/2020,55.05597495
26/03/2020,41.578544
27/03/2020,28.81999627
28/03/2020,21.0619088
30/03/2020,26.24289384
31/03/2020,29.06116194
01/04/2020,26.74327122
02/04/2020,25.01439071
03/04/2020,25.82618528
04/04/2020,16.67009774
05/04/2020,13.64940917
06/04/2020,20.99212028
07/04/2020,25.32409774
08/04/2020,22.6627845
09/04/2020,23.29595386
10/04/2020,20.78686915
11/04/2020,13.75253175
12/04/2020,12.86445785
13/04/2020,16.74379536
14/04/2020,22.46964436
15/04/2020,26.54420742
16/04/2020,28.64066108
17/04/2020,25.54078133
18/04/2020,19.2635742
19/04/2020,15.56965781
20/04/2020,21.97670283
21/04/2020,23.37622201
22/04/2020,25.3733028
23/04/2020,41.12345331
24/04/2020,37.06157042
25/04/2020,27.81417372
