Timestamp,cost-per-transaction
01/05/2019,26.4969092012474
02/05/2019,27.9708514510895
03/05/2019,29.0384334192596
04/05/2019,27.2976230261004
05/05/2019,28.9994092129323
06/05/2019,29.3305522052356
07/05/2019,29.9656862831318
08/05/2019,29.8455120704085
09/05/2019,33.0991212922985
10/05/2019,32.9153756539132
11/05/2019,34.4330982675101
12/05/2019,44.1098467139244
13/05/2019,41.8466056141763
14/05/2019,44.1289479881913
15/05/2019,44.9364454436926
16/05/2019,43.6602175431352
17/05/2019,42.5780670651137
18/05/2019,41.6583075333021
19/05/2019,49.3830406151526
20/05/2019,45.6289717191716
21/05/2019,44.1811915146516
22/05/2019,45.3394913915237
23/05/2019,42.3005448954593
24/05/2019,45.0224517543274
25/05/2019,44.666945828867
26/05/2019,46.8643409346336
27/05/2019,50.1813215354999
28/05/2019,50.2221496823349
29/05/2019,50.4708034582727
30/05/2019,50.2153455036011
31/05/2019,46.5837629574751
01/06/2019,52.6973440587309
02/06/2019,51.1652144494655
03/06/2019,48.9059108007802
04/06/2019,44.8260164966682
05/06/2019,44.9772261025852
06/06/2019,44.8360139982732
07/06/2019,47.0867654909602
08/06/2019,43.7623279680004
09/06/2019,49.0664144120194
10/06/2019,45.5573724249407
11/06/2019,44.0144173026103
12/06/2019,42.7479218067421
13/06/2019,44.765065154586
14/06/2019,51.3515561331295
15/06/2019,50.1857814053655
16/06/2019,52.4325655085327
17/06/2019,51.3471327041772
18/06/2019,50.0432326306077
19/06/2019,52.9126999593201
20/06/2019,54.2462032122193
21/06/2019,51.9282169339068
22/06/2019,57.1239955615097
23/06/2019,66.5162485015371
24/06/2019,65.483492893849
25/06/2019,60.9120469564058
26/06/2019,71.5731340688491
27/06/2019,64.6004942886489
28/06/2019,63.7133801705182
29/06/2019,76.3890180666589
30/06/2019,70.0570831384349
01/07/2019,60.8858357962894
02/07/2019,57.9382290758566
03/07/2019,64.3355567819161
04/07/2019,69.080367156161
05/07/2019,71.6928640593513
06/07/2019,74.6001189118738
07/07/2019,70.7848479653411
08/07/2019,71.5060014146179
09/07/2019,69.1673055847394
10/07/2019,68.1388206314988
11/07/2019,60.4701923318181
12/07/2019,67.6842726899866
13/07/2019,67.6741040903416
14/07/2019,66.547224674243
15/07/2019,56.2523417514088
16/07/2019,60.2185118834706
17/07/2019,50.7894975696866
18/07/2019,50.4623113425228
19/07/2019,54.0467694962078
20/07/2019,74.5069287647335
21/07/2019,70.8051791693474
22/07/2019,66.3459219432144
23/07/2019,57.8716147694272
24/07/2019,58.6820111798732
25/07/2019,57.4308811583028
26/07/2019,64.9097906247496
27/07/2019,66.3434198319484
28/07/2019,76.9097013160833
29/07/2019,62.0451605644715
30/07/2019,53.4797452400545
31/07/2019,59.9883464893205
01/08/2019,54.4208451983898
02/08/2019,64.7035349741656
03/08/2019,72.5873514029389
04/08/2019,76.6382405544222
05/08/2019,63.1067782083659
06/08/2019,65.8068474888384
07/08/2019,62.8462692219344
08/08/2019,65.3523665788906
09/08/2019,66.0566787284843
10/08/2019,73.275797059353
11/08/2019,80.9888479954152
12/08/2019,66.0676369993002
13/08/2019,61.420327482175
14/08/2019,56.9411942998479
15/08/2019,56.4658066588714
16/08/2019,59.7138183628022
17/08/2019,58.3465994829838
18/08/2019,59.6939677631792
19/08/2019,66.2656115572474
20/08/2019,63.4093231776879
21/08/2019,57.8585943874638
22/08/2019,56.5812280925451
23/08/2019,58.754193509411
24/08/2019,68.037592774417
25/08/2019,69.1659356910217
26/08/2019,56.7269683884573
27/08/2019,53.8132363935469
28/08/2019,56.5215223791599
29/08/2019,57.3372246189114
30/08/2019,55.423720672848
31/08/2019,58.9422761810399
01/09/2019,60.9054401216385
02/09/2019,57.7612977607317
03/09/2019,59.4311303489136
04/09/2019,56.5856908668939
05/09/2019,63.6577647816231
06/09/2019,58.7219349243661
07/09/2019,62.7413380689339
08/09/2019,81.9251101978105
09/09/2019,60.4710385004454
10/09/2019,69.6237820517503
11/09/2019,70.6489862166719
12/09/2019,60.9803251937681
13/09/2019,63.600000824058
14/09/2019,67.6138437140606
15/09/2019,70.3762745165825
16/09/2019,61.214821815812
17/09/2019,56.0324493279703
18/09/2019,62.0440781613469
19/09/2019,54.1653606781131
20/09/2019,57.3134687453945
21/09/2019,62.7355135570425
22/09/2019,66.3300828377716
23/09/2019,50.534540179164
24/09/2019,53.0872769255953
25/09/2019,48.7985164480177
26/09/2019,50.309449944586
27/09/2019,44.4266876287536
28/09/2019,52.1545880070646
29/09/2019,48.8152777770494
30/09/2019,43.1497755861691
01/10/2019,45.5094392434382
02/10/2019,48.0947311368581
03/10/2019,47.3077938685327
04/10/2019,45.0705446264621
05/10/2019,49.6996124011376
06/10/2019,53.2545312982838
07/10/2019,47.8824281167047
08/10/2019,50.02011085204
09/10/2019,47.0227841059467
10/10/2019,51.338440016588
11/10/2019,48.4883278411479
12/10/2019,46.4748599476245
13/10/2019,53.5597112186838
14/10/2019,47.3402249495259
15/10/2019,47.4181091790772
16/10/2019,43.2339749883066
17/10/2019,46.2402548337499
18/10/2019,48.0213891674874
19/10/2019,46.9692240058046
20/10/2019,51.4650747772336
21/10/2019,46.8686739347487
22/10/2019,51.2399501978676
23/10/2019,48.5485454719215
24/10/2019,41.449687615801
25/10/2019,42.3285572909028
26/10/2019,54.8506745247245
27/10/2019,54.1633461896998
28/10/2019,51.6559195515456
29/10/2019,49.8983567957221
30/10/2019,52.6256601149877
31/10/2019,48.3729391425207
01/11/2019,56.2313878519737
02/11/2019,55.6179189679099
