Timestamp,cost-per-transaction-percent
01/05/2019,1.35914548808177
02/05/2019,1.70198589179955
03/05/2019,1.29624917652674
04/05/2019,2.04846845105405
05/05/2019,2.14870287131867
06/05/2019,1.44274802044806
07/05/2019,0.963011837959988
08/05/2019,1.14277383137971
09/05/2019,0.97059989920477
10/05/2019,0.838036306456071
11/05/2019,1.33344034945188
12/05/2019,1.48745143172796
13/05/2019,0.97204563796857
14/05/2019,0.977046322973364
15/05/2019,1.06477960373299
16/05/2019,0.982131219623296
17/05/2019,1.18614716534123
18/05/2019,2.17495572313629
19/05/2019,2.20602258451625
20/05/2019,1.54387303848101
21/05/2019,1.66331068287359
22/05/2019,1.60669231443713
23/05/2019,1.39509866437324
24/05/2019,1.30386882764461
25/05/2019,2.73858112790145
26/05/2019,2.06488867099398
27/05/2019,1.58799775871353
28/05/2019,1.36218710702259
29/05/2019,0.760703418531709
30/05/2019,1.44755791703504
31/05/2019,0.651045257791439
01/06/2019,1.84161475967325
02/06/2019,2.33827962314783
03/06/2019,1.03603247887844
04/06/2019,0.770200742445004
05/06/2019,0.65674332184093
06/06/2019,0.817254156942834
07/06/2019,1.53552459036626
08/06/2019,2.39652550174117
09/06/2019,3.49826979442048
10/06/2019,1.59297284924472
11/06/2019,0.938602657043801
12/06/2019,1.20574541528335
13/06/2019,1.43858630400832
14/06/2019,1.48593922404396
15/06/2019,1.93963533827195
16/06/2019,1.49262599193489
17/06/2019,0.565257165519492
18/06/2019,0.905435686722163
19/06/2019,1.11174407932652
20/06/2019,1.50363178374603
21/06/2019,1.14648228174643
22/06/2019,0.910086993087473
23/06/2019,2.15424762856351
24/06/2019,1.46057562092504
25/06/2019,1.20206189283074
26/06/2019,0.976182735695994
27/06/2019,0.950481932358358
28/06/2019,0.977636723191165
29/06/2019,2.01891779250772
30/06/2019,1.40308182534934
01/07/2019,1.25135791279282
02/07/2019,1.19310971309217
03/07/2019,1.585559441474
04/07/2019,1.324569180199
05/07/2019,2.30706322021032
06/07/2019,4.11508462533495
07/07/2019,3.94595502962481
08/07/2019,1.33237372160806
09/07/2019,1.42389074432643
10/07/2019,0.6809067232283
11/07/2019,1.04545514100845
12/07/2019,1.57445183533528
13/07/2019,2.92998587271279
14/07/2019,2.29269963896861
15/07/2019,1.58727576503773
16/07/2019,1.42452296359656
17/07/2019,0.869258775159917
18/07/2019,1.16830331194593
19/07/2019,0.762040934995743
20/07/2019,2.9210257461087
21/07/2019,2.9476430740397
22/07/2019,2.09575462193953
23/07/2019,1.98337817840309
24/07/2019,1.29994395094069
25/07/2019,1.90401613650318
26/07/2019,2.08717987331926
27/07/2019,3.21201248989884
28/07/2019,5.53603579033982
29/07/2019,0.50793879329425
30/07/2019,1.38641982628172
31/07/2019,2.09764216798259
01/08/2019,1.74953180032133
02/08/2019,1.77177749157218
03/08/2019,4.48009884809757
04/08/2019,3.95446140890222
05/08/2019,1.24824847029781
06/08/2019,1.33143586888772
07/08/2019,1.536770547494
08/08/2019,1.56482911098929
09/08/2019,1.60285367527702
10/08/2019,2.79670792063153
11/08/2019,3.87956253215421
12/08/2019,1.53633650850144
13/08/2019,1.40050957869388
14/08/2019,1.57540077804498
15/08/2019,1.29621125169843
16/08/2019,1.87216168790387
17/08/2019,1.10201154981365
18/08/2019,1.78689695718796
19/08/2019,2.20009619492582
20/08/2019,1.75194183631081
21/08/2019,1.67430842581877
22/08/2019,1.91816566839818
23/08/2019,0.952759164390955
24/08/2019,3.53014531500062
25/08/2019,3.47246226586943
26/08/2019,1.37687906496816
27/08/2019,1.37287301789828
28/08/2019,1.8352399919388
29/08/2019,1.20642540226994
30/08/2019,1.48263148785081
31/08/2019,3.79720494520806
01/09/2019,3.29551892905051
02/09/2019,1.64559804607432
03/09/2019,1.49805790293414
04/09/2019,1.35458762901641
05/09/2019,1.31603905835177
06/09/2019,0.770465305641443
07/09/2019,2.18186219058716
08/09/2019,3.21942447599863
09/09/2019,1.55274252976604
10/09/2019,1.20476725195223
11/09/2019,1.68396810267667
12/09/2019,1.1303404198588
13/09/2019,2.12026758635557
14/09/2019,3.72853921770933
15/09/2019,4.1738771348095
16/09/2019,1.40872639985804
17/09/2019,1.36389666118418
18/09/2019,1.18615943762716
19/09/2019,1.53295466053379
20/09/2019,1.11505332334576
21/09/2019,1.62450892368954
22/09/2019,3.83252017245118
23/09/2019,1.71297311514187
24/09/2019,0.612252947842072
25/09/2019,0.825085081017808
26/09/2019,1.38142412225017
27/09/2019,1.18539212450706
28/09/2019,2.82656350915675
29/09/2019,3.09750443980248
30/09/2019,1.30091157985031
01/10/2019,1.42520063897578
02/10/2019,2.12122182135503
03/10/2019,1.64124749656665
04/10/2019,2.07057586601161
05/10/2019,4.36273283210246
06/10/2019,3.511804079782
07/10/2019,1.83401839174608
08/10/2019,1.79383898610636
09/10/2019,1.37513618251621
10/10/2019,1.67923843589114
11/10/2019,1.8136670233106
12/10/2019,3.23041471642301
13/10/2019,4.23252247434962
14/10/2019,0.853984140239242
15/10/2019,1.73979581101863
16/10/2019,1.54879223607164
17/10/2019,1.2578461762051
18/10/2019,1.56089897579785
19/10/2019,3.68531419046752
20/10/2019,4.46713229775893
21/10/2019,1.76060888643622
22/10/2019,1.75544104547918
23/10/2019,1.31747215595032
24/10/2019,1.27948164054958
25/10/2019,1.0425265739011
26/10/2019,1.33472646506643
27/10/2019,1.92296233968397
27/10/2019,0.863611679243422
28/10/2019,1.37393666019713
29/10/2019,1.70705158922152
30/10/2019,0.982581917225391
31/10/2019,0.746153449380039
