Timestamp,n-transactions
03/02/2020,309190
04/02/2020,368604
05/02/2020,315370
06/02/2020,334938
07/02/2020,318363
08/02/2020,317070
09/02/2020,298104
10/02/2020,365583
11/02/2020,344615
12/02/2020,340081
13/02/2020,326078
14/02/2020,322721
15/02/2020,292236
16/02/2020,341491
17/02/2020,331050
18/02/2020,334805
19/02/2020,316626
20/02/2020,338484
21/02/2020,304597
22/02/2020,285579
23/02/2020,328890
24/02/2020,334593
25/02/2020,329967
26/02/2020,338781
27/02/2020,368590
28/02/2020,307527
29/02/2020,309849
01/03/2020,342821
02/03/2020,342324
03/03/2020,358745
04/03/2020,349529
05/03/2020,338383
06/03/2020,313312
07/03/2020,302694
08/03/2020,348211
09/03/2020,329698
10/03/2020,287492
11/03/2020,349978
12/03/2020,276798
13/03/2020,279828
14/03/2020,223230
15/03/2020,270399
16/03/2020,278326
17/03/2020,231254
18/03/2020,265689
19/03/2020,284594
20/03/2020,245896
21/03/2020,209154
22/03/2020,259816
23/03/2020,278131
24/03/2020,218176
25/03/2020,292828
26/03/2020,276546
27/03/2020,240627
28/03/2020,232820
30/03/2020,276828
31/03/2020,290227
01/04/2020,281855
02/04/2020,299176
03/04/2020,278763
04/04/2020,253274
05/04/2020,240259
06/04/2020,280470
07/04/2020,312770
08/04/2020,286563
09/04/2020,286706
10/04/2020,288585
11/04/2020,247852
12/04/2020,228529
13/04/2020,288113
14/04/2020,299391
15/04/2020,310253
16/04/2020,322903
17/04/2020,284222
18/04/2020,289134
19/04/2020,251984
20/04/2020,310810
21/04/2020,310851
22/04/2020,278755
23/04/2020,329045
24/04/2020,320055
25/04/2020,280805
26/04/2020,252833
27/04/2020,311217
28/04/2020,323475
29/04/2020,331401
30/04/2020,321972
01/05/2020,340574
02/05/2020,286773
03/05/2020,281752
04/05/2020,326098
05/05/2020,329075
06/05/2020,333395
07/05/2020,341986
08/05/2020,323625
09/05/2020,312399
10/05/2020,286789
11/05/2020,305839
12/05/2020,345215
13/05/2020,296796
14/05/2020,268750
15/05/2020,310642
16/05/2020,296555
17/05/2020,236808
18/05/2020,273723
19/05/2020,274897
20/05/2020,280037
21/05/2020,298483
22/05/2020,278784
23/05/2020,269230
24/05/2020,214530
25/05/2020,265875
26/05/2020,295782
27/05/2020,292927
28/05/2020,299910
29/05/2020,280960
30/05/2020,286046
31/05/2020,258427
01/06/2020,308312
02/06/2020,304114
03/06/2020,314000
04/06/2020,318285
05/06/2020,327082
06/06/2020,284873
07/06/2020,252368
08/06/2020,317275
09/06/2020,327074
10/06/2020,325163
11/06/2020,332490
12/06/2020,318274
13/06/2020,280181
14/06/2020,275723
15/06/2020,294468
16/06/2020,340517
17/06/2020,333547
18/06/2020,283897
19/06/2020,344142
20/06/2020,284123
21/06/2020,259440
22/06/2020,301396
23/06/2020,355256
24/06/2020,312321
25/06/2020,312183
26/06/2020,330381
27/06/2020,275489
28/06/2020,264909
29/06/2020,315424
30/06/2020,299733
01/07/2020,382570
02/07/2020,339469
03/07/2020,331009
04/07/2020,288647
05/07/2020,274104
06/07/2020,338767
07/07/2020,345975
08/07/2020,347455
09/07/2020,362718
10/07/2020,345996
11/07/2020,306771
12/07/2020,282364
13/07/2020,310227
14/07/2020,359847
15/07/2020,316064
16/07/2020,345849
17/07/2020,293907
18/07/2020,311022
19/07/2020,277093
20/07/2020,309747
21/07/2020,312871
22/07/2020,364792
23/07/2020,336245
24/07/2020,369432
25/07/2020,293883
26/07/2020,298580
27/07/2020,326769
28/07/2020,354742
29/07/2020,346521
30/07/2020,327789
31/07/2020,356906
01/08/2020,296705
02/08/2020,287869
03/08/2020,333753
04/08/2020,329032
05/08/2020,291814
06/08/2020,356612
07/08/2020,326499
08/08/2020,283631
09/08/2020,268402
10/08/2020,308367
11/08/2020,349952
12/08/2020,346405
13/08/2020,325346
14/08/2020,365679
15/08/2020,313760
16/08/2020,285069
17/08/2020,292944
18/08/2020,346036
19/08/2020,333879
20/08/2020,333683
21/08/2020,314297
22/08/2020,311699
23/08/2020,288728
24/08/2020,329133
25/08/2020,304409
26/08/2020,324184
27/08/2020,328157
28/08/2020,352722
29/08/2020,292783
30/08/2020,269114
31/08/2020,302920
01/09/2020,376508
02/09/2020,317449
03/09/2020,310922
04/09/2020,298286
05/09/2020,325523
06/09/2020,262820
07/09/2020,327662
08/09/2020,332668
09/09/2020,314864
10/09/2020,345981
11/09/2020,308323
12/09/2020,300152
13/09/2020,255110
14/09/2020,354020
15/09/2020,332957
16/09/2020,342609
17/09/2020,348581
18/09/2020,325157
19/09/2020,296357
20/09/2020,259095
21/09/2020,297605
22/09/2020,312989
23/09/2020,349938
24/09/2020,316552
25/09/2020,353070
26/09/2020,276162
27/09/2020,259382
28/09/2020,295476
29/09/2020,347696
30/09/2020,351417
01/10/2020,304757
02/10/2020,315443
03/10/2020,310855
04/10/2020,268019
05/10/2020,294986
06/10/2020,317922
07/10/2020,370554
08/10/2020,330227
09/10/2020,339343
10/10/2020,298486
11/10/2020,256096
12/10/2020,314174
13/10/2020,333215
14/10/2020,314541
15/10/2020,340993
16/10/2020,324647
17/10/2020,275069
18/10/2020,231557
19/10/2020,303929
20/10/2020,330563
21/10/2020,311292
22/10/2020,339087
23/10/2020,323869
24/10/2020,306774
25/10/2020,242273
26/10/2020,251938
27/10/2020,261340
28/10/2020,276070
29/10/2020,268364
30/10/2020,275796
31/10/2020,276280
01/11/2020,224609
02/11/2020,331673
03/11/2020,320697
04/11/2020,318668
05/11/2020,340351
06/11/2020,270901
07/11/2020,243047
08/11/2020,326383
09/11/2020,303270
10/11/2020,322277
11/11/2020,324855
12/11/2020,300040
13/11/2020,273511
14/11/2020,252715
15/11/2020,311477
16/11/2020,347772
17/11/2020,362007
18/11/2020,311061
19/11/2020,348026
20/11/2020,311189
21/11/2020,271125
22/11/2020,297840
23/11/2020,333293
24/11/2020,361990
25/11/2020,323975
26/11/2020,322445
27/11/2020,293949
28/11/2020,263573
29/11/2020,256551
30/11/2020,378068
01/12/2020,327019
02/12/2020,346921
03/12/2020,318894
04/12/2020,282599
05/12/2020,258624
06/12/2020,300906
07/12/2020,330970
08/12/2020,321079
09/12/2020,313649
10/12/2020,304735
11/12/2020,295410
12/12/2020,276160
13/12/2020,314350
14/12/2020,320440
15/12/2020,315217
16/12/2020,309481
17/12/2020,375549
18/12/2020,343536
19/12/2020,282043
20/12/2020,269834
21/12/2020,324163
22/12/2020,338463
23/12/2020,269559
24/12/2020,303901
25/12/2020,273954
26/12/2020,309005
27/12/2020,308983
28/12/2020,336311
29/12/2020,338258
30/12/2020,344918
31/12/2020,258080
01/01/2021,297111
02/01/2021,359116
03/01/2021,373734
04/01/2021,354091
05/01/2021,397384
06/01/2021,401744
07/01/2021,358526
08/01/2021,321389
09/01/2021,331865
10/01/2021,333958
11/01/2021,336627
12/01/2021,319167
13/01/2021,338809
14/01/2021,344002
15/01/2021,308461
16/01/2021,271874
17/01/2021,313816
18/01/2021,325083
19/01/2021,314809
20/01/2021,290754
21/01/2021,326935
22/01/2021,305209
23/01/2021,253971
24/01/2021,309102
25/01/2021,336935
26/01/2021,323553
27/01/2021,325146
28/01/2021,341036
29/01/2021,312313
30/01/2021,290753
31/01/2021,280863
01/02/2021,364551
02/02/2021,344425
03/02/2021,367788
04/02/2021,360541
05/02/2021,333886
06/02/2021,286364
07/02/2021,335223
08/02/2021,360137
09/02/2021,340758
10/02/2021,304739
11/02/2021,343306
12/02/2021,336624
13/02/2021,298254
14/02/2021,308496
15/02/2021,296388
16/02/2021,317666
17/02/2021,316952
18/02/2021,341586
19/02/2021,320475
20/02/2021,271645
21/02/2021,285383
22/02/2021,287884
23/02/2021,358092
24/02/2021,326116
25/02/2021,306416
26/02/2021,320784
27/02/2021,254316
28/02/2021,280485
01/03/2021,338150
02/03/2021,333402
03/03/2021,289631
04/03/2021,317780
05/03/2021,287963
06/03/2021,260739
07/03/2021,291955
08/03/2021,299682
09/03/2021,344688
10/03/2021,291245
11/03/2021,320744
12/03/2021,277072
13/03/2021,308050
14/03/2021,292231
15/03/2021,319493
16/03/2021,296119
17/03/2021,331718
18/03/2021,316180
19/03/2021,286948
20/03/2021,234936
21/03/2021,297410
22/03/2021,314234
23/03/2021,305093
24/03/2021,318562
25/03/2021,293610
26/03/2021,288259
27/03/2021,248605
29/03/2021,303305
30/03/2021,321090
31/03/2021,332749
01/04/2021,311939
02/04/2021,305788
03/04/2021,281717
04/04/2021,246007
05/04/2021,289046
06/04/2021,309565
07/04/2021,321319
08/04/2021,278534
09/04/2021,324720
10/04/2021,299086
11/04/2021,253449
12/04/2021,291369
13/04/2021,310213
14/04/2021,297494
15/04/2021,359440
16/04/2021,219704
17/04/2021,194580
18/04/2021,274735
19/04/2021,208413
20/04/2021,279977
21/04/2021,226021
22/04/2021,274610
23/04/2021,295731
24/04/2021,290690
25/04/2021,241041
26/04/2021,240687
27/04/2021,298109
28/04/2021,277126
29/04/2021,259465
30/04/2021,289389
01/05/2021,262991
02/05/2021,235214
03/05/2021,287007
04/05/2021,300824
05/05/2021,309774
06/05/2021,311380
07/05/2021,307988
08/05/2021,274691
09/05/2021,247866
10/05/2021,303297
11/05/2021,312115
12/05/2021,300452
13/05/2021,276472
14/05/2021,266055
15/05/2021,232099
16/05/2021,219435
17/05/2021,250910
18/05/2021,221018
19/05/2021,263419
20/05/2021,228039
21/05/2021,226351
22/05/2021,223800
23/05/2021,194320
24/05/2021,234755
25/05/2021,233644
26/05/2021,230753
27/05/2021,214035
28/05/2021,218311
29/05/2021,198332
30/05/2021,179795
31/05/2021,226469
01/06/2021,234561
02/06/2021,250589
03/06/2021,255621
04/06/2021,236672
05/06/2021,194580
06/06/2021,185305
07/06/2021,235479
08/06/2021,246906
09/06/2021,210911
