Timestamp,output-volume;
27/09/2021,4261128.52878437;
28/09/2021,3550791.36718073;
29/09/2021,3983314.45979604;
30/09/2021,4383571.24468921;
01/10/2021,4456216.00444477;
02/10/2021,3210288.23264433;
03/10/2021,3573483.96354381;
04/10/2021,3717018.76969159;
05/10/2021,4900821.26346561;
06/10/2021,4931625.68601013;
07/10/2021,4510651.36456084;
08/10/2021,4004225.07801505;
09/10/2021,3196245.45400673;
10/10/2021,2806333.51251399;
11/10/2021,4364851.19611696;
12/10/2021,3511729.90063548;
13/10/2021,3256483.42741312;
14/10/2021,2741066.67393145;
15/10/2021,3849193.64901156;
16/10/2021,2939943.7528603;
17/10/2021,3239838.23564407;
18/10/2021,4029344.3315212;
19/10/2021,11127801.5263591;
20/10/2021,4907655.06823791;
21/10/2021,4360430.10432267;
22/10/2021,3525994.66470755;
23/10/2021,2686502.79078814;
24/10/2021,2775219.88258322;
25/10/2021,3249563.47410226;
26/10/2021,3513661.82339813;
27/10/2021,2920437.25821477;
28/10/2021,2958362.91564187;
29/10/2021,3101401.41364825;
30/10/2021,3186564.28737283;
31/10/2021,2655904.41168323;
01/11/2021,3526612.35236036;
02/11/2021,3402811.47020264;
03/11/2021,4212181.03466117;
04/11/2021,4333288.32481027;
05/11/2021,4347687.67406264;
06/11/2021,3457653.30780965;
07/11/2021,5855254.94494283;
08/11/2021,4939065.72549643;
09/11/2021,4611901.96024548;
10/11/2021,3871710.23481828;
11/11/2021,4033451.79622195;
12/11/2021,3317164.60250427;
13/11/2021,3032269.45773888;
14/11/2021,4363614.67332523;
15/11/2021,12111675.8605129;
16/11/2021,6180491.27113014;
17/11/2021,5502222.26961623;
18/11/2021,4604956.96930351;
19/11/2021,3506542.03296004;
20/11/2021,3585506.22460952;
21/11/2021,4334430.96436919;
22/11/2021,4381844.45336183;
23/11/2021,4894575.94761881;
24/11/2021,5264444.83535074;
25/11/2021,5023391.63765953;
26/11/2021,2901741.32810071;
27/11/2021,3215364.79070716;
28/11/2021,4154352.04529813;
29/11/2021,4261988.63058751;
30/11/2021,3771439.85029266;
01/12/2021,3819393.05950373;
02/12/2021,3502460.63297194;
03/12/2021,4372553.60605583;
04/12/2021,2915405.16069845;
05/12/2021,5448763.98623219;
06/12/2021,5227643.78122664;
07/12/2021,4330229.18712182;
08/12/2021,3129236.98486043;
09/12/2021,3010302.52404078;
10/12/2021,2570373.64214227;
11/12/2021,2255123.24963145;
12/12/2021,3044860.11974444;
13/12/2021,8862769.66268555;
14/12/2021,3942779.4126393;
15/12/2021,3458450.29734092;
16/12/2021,3038603.21794454;
17/12/2021,2798827.30706633;
18/12/2021,2379754.54138304;
19/12/2021,2965053.17934814;
20/12/2021,2709775.52757867;
21/12/2021,3186379.10027823;
22/12/2021,3214607.73706577;
23/12/2021,2859457.51303229;
24/12/2021,2411011.6732371;
25/12/2021,2463062.50094689;
26/12/2021,3132093.95703369;
27/12/2021,3275690.73136716;
28/12/2021,3496397.09899847;
29/12/2021,3153503.50490961;
30/12/2021,3186813.09009528;
31/12/2021,2315881.35954606;
01/01/2022,2244948.02850195;
02/01/2022,3397829.40242869;
03/01/2022,3191635.02052059;
04/01/2022,4080367.42514894;
05/01/2022,3800536.57858302;
06/01/2022,3618186.81512856;
07/01/2022,2819429.3603886;
08/01/2022,2651962.57917248;
09/01/2022,3425558.82937611;
10/01/2022,7366049.45352941;
11/01/2022,4649017.36218838;
12/01/2022,4276418.50227151;
13/01/2022,3870686.16141146;
14/01/2022,3947497.41696888;
15/01/2022,3778329.06722689;
16/01/2022,3718675.8798356;
17/01/2022,4353080.97296091;
18/01/2022,3766636.2325066;
19/01/2022,3530846.43203686;
20/01/2022,5170218.11837593;
21/01/2022,6382051.78413212;
22/01/2022,5712572.95575921;
23/01/2022,6746078.39195127;
24/01/2022,5673556.23576438;
25/01/2022,4148940.09231863;
26/01/2022,3990330.0797059;
27/01/2022,4246151.28883001;
28/01/2022,3909486.61884262;
29/01/2022,3771459.04228002;
30/01/2022,3931379.01366726;
31/01/2022,3896197.77639353;
01/02/2022,3335079.04147805;
02/02/2022,3608398.68146524;
03/02/2022,4479684.04920269;
04/02/2022,3530466.14834013;
05/02/2022,3046303.60918288;
06/02/2022,4719355.74290554;
07/02/2022,11957138.8766474;
08/02/2022,5388473.66116056;
09/02/2022,5358161.68789576;
10/02/2022,3919197.42654084;
11/02/2022,3186538.52820176;
12/02/2022,3288531.58203019;
13/02/2022,3957897.44526518;
14/02/2022,3425575.57660951;
15/02/2022,3913108.63218355;
16/02/2022,3664305.81661787;
17/02/2022,3922024.41846978;
18/02/2022,3223183.09492932;
19/02/2022,3411589.0902394;
20/02/2022,4987413.64272896;
21/02/2022,4756839.95787969;
22/02/2022,3597031.73630759;
23/02/2022,4283223.89738071;
24/02/2022,4323350.10824429;
25/02/2022,3127279.39922042;
26/02/2022,2944240.97396236;
27/02/2022,4322021 .623452314;
28/02/2022,4987587.41653964;
01/03/2022,3629538.70981372;
02/03/2022,3945266.2745885;
03/03/2022,3555251.86097118;
04/03/2022,2616672.69155176;
05/03/2022,2764429.34498524;
06/03/2022,3589195.55793787;
07/03/2022,8872860.88592986;
08/03/2022,7533865.34467868;
09/03/2022,4892503.75538089;
10/03/2022,4127599.07245791;
11/03/2022,3409279.4182020 22;
12/03/2022,3471559.78556722;
13/03/2022,4364034.51608986;
14/03/2022,3666648.66891235;
15/03/2022,4174563.62901211;
16/03/2022,4107138.75663242;
17/03/2022,3376443.66216539;
18/03/2022,3631155.29932348;
19/03/2022,2497434.7174019;
20/03/2022,4501419.76668248;
21/03/2022,3615218.64590223;
22/03/2022,3333457.0345256;
23/03/2022,3540391.73144281;
24/03/2022,4223371.80795523;
25/03/2022,3316818.75268461;
26/03/2022,3293481.198717;
28/03/2022,4739013.59412007;
29/03/2022,4449903.51645473;
30/03/2022,3680077.07151062;
31/03/2022,3918935.85366008;
01/04/2022,3434271.06803338;
02/04/2022,4019035.00710295;
03/04/2022,2946637.78399552;
04/04/2022,3541538.86329884;
05/04/2022,7671351.7041779;
06/04/2022,6304541.08702562;
07/04/2022,5536026.91636145;
08/04/2022,4946555.40958749;
09/04/2022,3337379.68589574;
10/04/2022,3396073.77119506;
11/04/2022,5731184.87235027;
12/04/2022,5024041.89727764;
13/04/2022,5150151.35280489;
14/04/2022,5494127.01135634;
15/04/2022,4131532.48569272;
16/04/2022,3189433.87387289;
17/04/2022,3340442.55009796;
18/04/2022,5409895.65370438;
19/04/2022,4972505.2328134;
20/04/2022,4249194.94755327;
21/04/2022,5470603.30770964;
22/04/2022,5495355.36924831;
23/04/2022,4701306.22634219;
24/04/2022,5282577.83733563;
25/04/2022,8085468.21369993;
26/04/2022,7555584.96979585;
27/04/2022,6798134.08829799;
28/04/2022,6930073.8199425;
29/04/2022,5369885.74756699;
