Timestamp,hash-rate
02-05-2019,48183714.41204212
03-05-2019,50033463.748084925
04-05-2019,50078579.58554938
05-05-2019,50041434.90466356
06-05-2019,48827339.21153388
07-05-2019,48660338.77343285
08-05-2019,48388716.86425585
09-05-2019,47908384.96530409
10-05-2019,46746356.701584496
11-05-2019,45838154.26510411
12-05-2019,45881810.26580111
13-05-2019,47262072.19288433
14-05-2019,48023596.01472336
15-05-2019,49213476.98634683
16-05-2019,49070691.26975202
17-05-2019,48880310.31429226
18-05-2019,50117786.52478065
19-05-2019,51214225.9653176
20-05-2019,51455052.94267094
21-05-2019,51172297.31357709
22-05-2019,51222568.440806344
23-05-2019,52082203.48126961
24-05-2019,52656109.68334536
25-05-2019,52753976.04943956
26-05-2019,52135937.52285268
27-05-2019,52231162.979515426
28-05-2019,52516839.34950365
29-05-2019,53040579.36114874
30-05-2019,53373868.45946836
31-05-2019,53517351.45539473
01-06-2019,52430641.24589244
02-06-2019,53764035.52740503
03-06-2019,52847618.05786448
04-06-2019,51200279.00599987
05-06-2019,51549891.838974856
06-06-2019,51741225.45146676
07-06-2019,52391955.68991893
08-06-2019,54563917.45259504
09-06-2019,53133601.16985711
10-06-2019,53981196.00407218
11-06-2019,55994233.735332966
12-06-2019,55411512.28681011
13-06-2019,53875246.649795294
14-06-2019,53557398.58696465
15-06-2019,54082274.336697936
16-06-2019,55195584.69039007
17-06-2019,54248595.791119
18-06-2019,52929712.9352346
19-06-2019,53931003.7069991
20-06-2019,56304637.073356576
21-06-2019,55882395.93446342
22-06-2019,53985662.65170728
23-06-2019,53722574.62708882
24-06-2019,56406072.478197075
25-06-2019,58721247.09483949
26-06-2019,57826747.81113673
27-06-2019,57195336.55205244
28-06-2019,57552683.326542154
29-06-2019,59739282.95366377
30-06-2019,62124770.894167006
01-07-2019,61165896.33218028
02-07-2019,59910359.246711925
03-07-2019,61131189.48583867
04-07-2019,62141158.69857856
05-07-2019,63617010.31623936
06-07-2019,65082061.040971175
07-07-2019,65307453.46016069
08-07-2019,65363801.56495808
09-07-2019,67335985.2328663
10-07-2019,67824437.5975305
11-07-2019,66436142.99143573
12-07-2019,65329588.90932785
13-07-2019,65236285.666382276
14-07-2019,64282328.42397339
15-07-2019,64994549.13232233
16-07-2019,64362436.05344267
17-07-2019,65398734.02913992
18-07-2019,65656209.359963305
19-07-2019,65141258.69831654
20-07-2019,62180292.39384761
21-07-2019,64497570.37125807
22-07-2019,64755045.70208144
23-07-2019,65527471.694551595
24-07-2019,64272984.39400614
25-07-2019,64609474.12206306
26-07-2019,66422512.06746267
27-07-2019,69452834.29261255
28-07-2019,67789239.82918885
29-07-2019,69400228.24262594
30-07-2019,69983819.38224606
31-07-2019,69900133.59643504
01-08-2019,71948489.15970053
02-08-2019,71436400.26888414
03-08-2019,71628433.60294029
04-08-2019,72972666.94133326
05-08-2019,72460578.05051687
06-08-2019,71750336.91595864
07-08-2019,74077368.96597402
08-08-2019,73980793.82469277
09-08-2019,74960524.08975092
10-08-2019,74566507.44960831
11-08-2019,74200088.84510116
12-08-2019,74359558.14922811
13-08-2019,73747045.0713431
14-08-2019,73463402.59029946
15-08-2019,73392491.97003856
16-08-2019,74456151.27395216
17-08-2019,74456151.27395216
18-08-2019,72825207.0079513
19-08-2019,70938762.01502919
20-08-2019,73295435.91895369
21-08-2019,73227077.85694617
22-08-2019,72283871.86080375
23-08-2019,71347701.30319194
24-08-2019,71988449.4437935
25-08-2019,74482723.32512145
26-08-2019,76729088.15301372
27-08-2019,74848827.74587108
28-08-2019,73547109.00246462
29-08-2019,74631874.62197
30-08-2019,76367499.6131786
31-08-2019,76873723.56894776
01-09-2019,77307629.81674992
02-09-2019,76949688.48478603
03-09-2019,78440212.48352493
04-09-2019,81222826.59520005
05-09-2019,80706441.94499874
06-09-2019,81396021.79746325
07-09-2019,81911711.33116187
08-09-2019,81381518.77865718
09-09-2019,84070180.8003575
10-09-2019,83840689.86095707
11-09-2019,85217635.49735965
12-09-2019,88889490.52776654
13-09-2019,88354011.66916552
14-09-2019,87940628.0552553
15-09-2019,89554384.74609978
16-09-2019,88427197.63210215
17-09-2019,91022467.59238544
18-09-2019,89597236.24816689
19-09-2019,90214468.33262236
20-09-2019,90625164.50360724
21-09-2019,91702566.29484168
22-09-2019,92631413.65141927
23-09-2019,94235786.35823509
24-09-2019,90098193.58802584
25-09-2019,90858159.60704385
26-09-2019,89338227.56900775
27-09-2019,91434682.17080022
28-09-2019,90645114.94483174
29-09-2019,91035500.50166675
30-09-2019,89341776.99429789
01-10-2019,91495287.63803315
02-10-2019,91195824.21270087
03-10-2019,91433868.64401877
04-10-2019,90160370.38620834
05-10-2019,91519571.94981954
06-10-2019,91428958.51224539
07-10-2019,92606933.2007084
08-10-2019,94872269.1400604
09-10-2019,96593924.45396782
10-10-2019,95687790.07822704
11-10-2019,97179223.93948361
12-10-2019,98269788.05675259
13-10-2019,96238944.05855837
14-10-2019,95855009.81241499
15-10-2019,94280759.19669501
16-10-2019,93734992.14572485
17-10-2019,94440182.24777235
18-10-2019,93485053.29452871
19-10-2019,93854559.43403284
20-10-2019,94685948.24791701
21-10-2019,95055454.38742109
22-10-2019,97272491.22444555
23-10-2019,98750515.78246185
24-10-2019,101132725.05483375
25-10-2019,100207780.9461225
26-10-2019,98845219.46318829
27-10-2019,99339894.79783735
28-10-2019,95375220.79260795
29-10-2019,92695122.52125235
